MH687978.1 Betacoronavirus sp. strain VZ_BetaCoV_22084_6, complete genome
MH687977.1 Betacoronavirus sp. strain VZ_BetaCoV_22084_10, complete genome
MH687976.1 Betacoronavirus sp. strain VZ_BetaCoV_22084_1, complete genome
MH687974.1 Betacoronavirus sp. strain VZ_BetaCoV_20724_43, complete genome
MH687973.1 Betacoronavirus sp. strain VZ_BetaCoV_20724_39, complete genome
MH687972.1 Betacoronavirus sp. strain VZ_BetaCoV_20724_38, complete genome
MH687971.1 Betacoronavirus sp. strain VZ_BetaCoV_20724_34_c13, complete genome
MH687970.1 Betacoronavirus sp. strain VZ_BetaCoV_20724_34_c12, complete genome
MH687969.1 Betacoronavirus sp. strain VZ_BetaCoV_20724_33, complete genome
MH687968.1 Betacoronavirus sp. strain VZ_BetaCoV_16715_52, complete genome
MH687967.1 Alphacoronavirus sp. strain VZ_AlphaCoV_20745_8, complete genome
MH687966.1 Alphacoronavirus sp. strain VZ_AlphaCoV_20745_6, complete genome
MH687965.1 Alphacoronavirus sp. strain VZ_AlphaCoV_20745_17, complete genome
MH687964.1 Alphacoronavirus sp. strain VZ_AlphaCoV_20745_10, complete genome
MH687963.1 Alphacoronavirus sp. strain VZ_AlphaCoV_20724_95, complete genome
MH687962.1 Alphacoronavirus sp. strain VZ_AlphaCoV_17819_50, complete genome
MH687961.1 Alphacoronavirus sp. strain VZ_AlphaCoV_17819_4, complete genome
MH687960.1 Alphacoronavirus sp. strain VZ_AlphaCoV_17819_22, complete genome
MH687959.1 Alphacoronavirus sp. strain VZ_AlphaCoV_17819_17, complete genome
MH687958.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16845_87, complete genome
MH687957.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16845_64, complete genome
MH687956.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16845_53, complete genome
MH687955.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16845_47, complete genome
MH687954.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16845_24, complete genome
MH687953.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_86, complete genome
MH687952.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_84, complete genome
MH687951.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_78, complete genome
MH687950.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_77, complete genome
MH687949.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_76, complete genome
MH687948.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_7, complete genome
MH687947.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_63, complete genome
MH687946.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_61, complete genome
MH687945.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_56, complete genome
MH687944.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_53, complete genome
MH687943.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_5, complete genome
MH687942.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_47_c2, complete genome
MH687941.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_47_c1, complete genome
MH687940.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_45, complete genome
MH687939.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_39_c2, complete genome
MH687938.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_39_c1, complete genome
MH687937.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_32, complete genome
MH687936.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_31, complete genome
MH687935.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_24, complete genome
MH687934.1 Alphacoronavirus sp. strain VZ_AlphaCoV_16715_23, complete genome
AY323977.2 SARS coronavirus HSR 1, complete genome
MT246490.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW233/human/2020/USA, complete genome
MT246489.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW232/human/2020/USA, complete genome
MT246488.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW231/human/2020/USA, complete genome
MT246487.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW230/human/2020/USA, complete genome
MT246486.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW229/human/2020/USA, complete genome
MT246485.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW228/human/2020/USA, complete genome
MT246484.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW227/human/2020/USA, complete genome
MT246482.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW225/human/2020/USA, complete genome
MT246481.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW224/human/2020/USA, complete genome
MT246480.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW223/human/2020/USA, complete genome
MT246479.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW222/human/2020/USA, complete genome
MT246478.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW221/human/2020/USA, complete genome
MT246477.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW220/human/2020/USA, complete genome
MT246476.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW219/human/2020/USA, complete genome
MT246475.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW218/human/2020/USA, complete genome
MT246474.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW217/human/2020/USA, complete genome
MT246473.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW216/human/2020/USA, complete genome
MT246472.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW215/human/2020/USA, complete genome
MT246471.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW214/human/2020/USA, complete genome
MT246470.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW213/human/2020/USA, complete genome
MT246469.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW212/human/2020/USA, complete genome
MT246468.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW211/human/2020/USA, complete genome
MT246467.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW210/human/2020/USA, complete genome
MT246466.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW209/human/2020/USA, complete genome
MT246464.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW207/human/2020/USA, complete genome
MT246462.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW205/human/2020/USA, complete genome
MT246461.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW204/human/2020/USA, complete genome
MT246460.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW203/human/2020/USA, complete genome
MT246459.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW202/human/2020/USA, complete genome
MT246458.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW201/human/2020/USA, complete genome
MT246457.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW200/human/2020/USA, complete genome
MT246456.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW199/human/2020/USA, complete genome
MT246455.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW198/human/2020/USA, complete genome
MT246454.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW197/human/2020/USA, complete genome
MT246453.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW196/human/2020/USA, complete genome
MT246452.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW195/human/2020/USA, complete genome
MT246451.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW194/human/2020/USA, complete genome
MT246450.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW193/human/2020/USA, complete genome
MT246449.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW192/human/2020/USA, complete genome
MT246667.1 Severe acute respiratory syndrome coronavirus 2 strain FDAARGOS_983 isolate 2019-nCoV/USA-WA1/2020, complete genome
MT233526.1 Severe acute respiratory syndrome coronavirus 2 strain FDAARGOS_983 isolate 2019-nCoV/USA-WA1/2020, complete genome
MT240479.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Gilgit1/human/2020/PAK, complete genome
MT226610.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/KMS1/human/2020/CHN, complete genome
MN985325.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-WA1/2020, complete genome
MT233523.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia8/human/2020/ESP, complete genome
